paper	fos	similarity
297354461	41008148	0.424386
297354461	80444323	0.430896223
297354461	54829058	0.514757633
297354461	126255220	0.430655479
297354461	16635281	0.494603366
297354518	104504180	0.547664762
297354518	62649853	0.42063266
297354518	74478641	0.47719115
297354518	2779669469	0
297354518	1034443	0.4433827
297354518	104267543	0.404568017
297354518	146978453	0.4033598
297354518	127413603	0.3558497
297354546	36759035	0.5015413
297354546	194945478	0.4289833
297354546	55766333	0.536482334
297354546	182671461	0.494165719
297354546	2779371384	0.4878982
297354546	501529594	0.477823764
297354546	178790620	0.413604379
297354546	206139338	0.448757321
297354546	40875361	0.5287153
297354546	185592680	0.378340453
297354557	180747234	0.437265962
297354557	68784500	0.484654874
297354557	15744967	0.409338057
297354600	512185932	0.469796717
297354600	148785051	0.5457777
297354600	130316041	0.515447557
297354600	2776991684	0.495135069
297354600	2777756961	0.465082079
297354600	2779133857	0.445130557
297354600	22885893	0.4935855
297354600	55493867	0.415624857
297354600	57600042	0.4950294
297354600	185592680	0.289813578
297354606	555293320	0.4228382
297354606	142724271	0.4247533
297354606	71924100	0.404428422
297354626	161191863	0.445267171
297354626	44877443	0.7561148
297354626	43141900	0.575658858
297354626	19417346	0.453439057
297354626	41008148	0.412821174
297354701	141071460	0.4403363
297354701	71924100	0.346971065
297354749	50126897	0.640181065
297354749	184779094	0.437687337
297354749	121332964	0.3808754
297354749	46141821	0.452621132
297354749	131538251	0.611377537
297354766	3305159	0.705542862
297354766	153349607	0.42746067
297354766	142362112	0.4088873
297354794	178790620	0.434964746
297354794	185592680	0.402798653
297354828	113461152	0.470139235
297354828	1276947	0.223515734
297354828	185592680	0.135601223
297354869	2781053568	0.62275666
297354869	142724271	0.420984268
297354869	203014093	0.428970337
297354869	71924100	0.3648321
297354899	2777448050	0.486360937
297354899	44154836	0.4501801
297354899	114094675	0.407904029
297354899	148834064	0.540585
297354899	127413603	0.404382527
297354899	119823426	0.478009343
297354920	2777035695	0.48846525
297354920	16005928	0.337277323
297354920	2776732256	0.4042406
297354920	77595967	0.3037658
297354920	192562407	0.3006552
297354986	41036726	0.775951743
297354986	57863822	0.807714343
297354986	39528615	0.7703274
297354986	176649486	0.7710435
297354986	133875982	0.7491133
297354986	31258907	0.444667935
297354986	74426580	0.7976758
297354986	153247305	0.7391305
297354986	41008148	0.390154332
297354986	51290061	0.7777713
297355040	171525042	0.5224703
297355040	120330832	0.477161944
297355040	19417346	0.446296632
297355040	17744445	0.428095
297355063	143701427	0.43244642
297355063	159750122	0.424970448
297355063	123552892	0.4186797
297355063	113578266	0.509690642
297355063	50516716	0.427681476
297355063	55493867	0.3425556
297355063	181199279	0.36337778
297355063	86803240	0.240980759
297355063	178666793	0.4150041
297355092	33923547	0.4563221
297355092	9376300	0.474721819
297355092	202444582	0.4612767
297355256	173651095	0.4474724
297355256	2778363333	0.7082909
297355256	137580998	0.422007
297355256	147273371	0.474085122
297355256	144027150	0.4424331
297355256	39432304	0.3409893
297355256	104727253	0.430007547
297355256	128758860	0.469577
297355256	34771814	0.4620799
297355256	6557445	0.436330616
297355288	86803240	0.273766249
297355288	149923435	0.30283758
297355288	18903297	0.275190383
297355288	2778261623	0.382044882
297355301	2777617010	0.5324677
297355301	2779975665	0.459350884
297355301	551968917	0.542466164
297355301	2780502288	0
297355301	15708023	0.452313
297355301	17744445	0.462471575
297355408	37914503	0.297608942
297355408	2776443958	0.422485381
297355408	138885662	0.278014421
297355503	198124995	0.708904147
297355503	105152959	0.755890965
297355503	122962297	0.6537349
297355503	74211669	0.536376655
297355503	165005293	0.6572226
297355503	2776096036	0.5787011
297355503	194491627	0.782594442
297355503	76155785	0.381264448
297355503	105344744	0.70666033
297355503	121332964	0.30255577
297355572	42219234	0.375508577
297355572	2777354188	0.526639938
297355572	68463220	0.410139382
297355572	79699506	0.438531637
297355572	2778162923	0.5493586
297355572	185592680	0.226481929
297355577	160735492	0.485947
297355577	194828623	0.4216133
297355577	19648533	0.6520506
297355577	204787440	0.4289916
297355577	107130276	0.495228767
297355577	168563851	0.5282788
297355577	141330323	0.577105939
297355577	2780724011	0.455313474
297355577	2776914243	0.43808344
297355577	2777310092	0.4793211
297355577	71924100	0.419837981
297355591	2779915640	0.43521902
297355591	2778483317	0
297355591	2776077829	0.463800371
297355591	2778369598	0.421099156
297355591	144027150	0.3477294
297355591	2775976403	0.416789949
297355591	126343540	0.4041841
297355591	2781451173	0.430975348
297355591	86803240	0.233113885
297355591	6557445	0.3388635
297355606	2777448050	0.46436134
297355606	49774154	0.429205745
297355606	2778780117	0.546634138
297355606	199033989	0.4578807
297355606	554936623	0.601429641
297355606	124952713	0.423412323
297355606	10050518	0.4297994
297355606	41008148	0.394005418
297355627	3116431	0.459577382
297355627	68476402	0.460529983
297355627	13200473	0.434360564
297355627	121658072	0.440117329
297355627	47177190	0.5385522
297355627	111476811	0.4627122
297355627	205649164	0.399291128
297355665	24397518	0.717534244
297355665	203637571	0.7342317
297355665	45747243	0.7285616
297355665	6138904	0.7239831
297355665	113102252	0.7363085
297355665	146199129	0.707253933
297355665	192562407	0.304368526
297355665	21651689	0.7030448
297355665	161181893	0.7158676
297355665	120665830	0.415549755
297355665	24326235	0.393003643
297355669	185592680	0.4220075
297355669	75473681	0.4489592
297355669	178790620	0.4436028
297355669	123669783	0.479731172
297355669	139066938	0.498425722
297355669	179104552	0.449629366
297355678	186229450	0.5775415
297355678	138921699	0.4562008
297355678	95457728	0.443567783
297355722	29829512	0.516383231
297355722	6405472	0.46043396
297355722	2777720157	0.4724056
297355722	65244806	0.425882161
297355722	17500928	0.465311736
297355722	182310444	0.406410754
297355722	13662910	0.470535547
297355722	167123822	0.538460732
297355722	76969082	0.42450586
297355722	127413603	0.345207334
297355734	22378518	0.427251548
297355734	172427765	0.489048451
297355734	39432304	0.4372382
297355734	2777428918	0.455267817
297355734	164749845	0.518820763
297355734	185933670	0.422115982
297355734	91375879	0.448314
297355734	137176749	0.441943437
297355734	64229544	0.517728031
297355864	542948173	0.56517446
297355864	47768531	0.4650713
297355864	34355311	0.5602882
297355864	158886217	0.47235474
297355864	555826173	0.5615205
297355864	68346564	0.556074
297355864	17744445	0.4550618
297355864	94625758	0.5490342
297355911	204530211	0.352902561
297355911	2778849375	0.4661729
