id	rank	doi	docType	title	originalTitle	bookTitle	year	date	publisher	journal	conferenceSeries	conferenceInstance	volume	issue	firstPage	lastPage	references	citations	estimatedCitations	createdAt
2564773432	24103			self neglect policy and practice research messages for practitioners	Self-neglect policy and practice: research messages for practitioners		2015	2015-01-01	Social Care Institute for Excellence								2	0	0	2017-01-06
2564773439	25082	10.1515/fjsb-2010-0213		indikatoren zur entwicklung der zivilgesellschaft in ostdeutschland	Indikatoren zur Entwicklung der Zivilgesellschaft in Ostdeutschland		2010	2010-01-01					23	2			0	0	0	2017-01-06
2564773448	25696	10.6570/PSQBR.2004.3.5		inventing international society a history of english school	Inventing International Society: A History of English School		2004	2004-09-01	國立台灣大學政治學系					3	13	15	0	0	0	2017-01-06
2564773450	24570			формирование корпоративной учетной политики группы компаний агробизнеса	Формирование корпоративной учетной политики группы компаний агробизнеса		2015	2015-01-01	Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования «Волгоградский государственный аграрный университет»								0	0	0	2017-01-06
2564773457	23428	10.1145/3014812.3014835		effect of coupling on change in open source java systems	Effect of coupling on change in open source Java systems	ACSW	2017	2017-01-30	ACM						22		23	0	0	2017-01-06
2564773458	27870			diagnosis of helminthiasis in animals	Diagnosis of helminthiasis in animals.		1974	1974-01-01	Izdat. "Kolos".								0	0	0	2017-01-06
2564773459	24468			김려의 우해이어보 와 자산어보 전어지 의 비교 연구	김려의 『우해이어보』 와 『자산어보』 ･｢전어지｣의 비교 연구		2016	2016-06-01	대동한문학회				47		171	202	0	0	0	2017-01-06
2564773460	24191	10.19030/iber.v16i1.9882		effects of market orientation and barriers to market orientation on university performance a study of universities of technology in south africa	Effects Of Market Orientation And Barriers To Market Orientation On University Performance: A Study Of Universities Of Technology In South Africa		2016	2016-12-27					16	1	17	30	0	0	0	2017-01-06
2564773474	24570	10.21821/2309-5180-2015-7-1-15-25		fuzzy logic decision making system for ships collision avoidance	FUZZY LOGIC DECISION-MAKING SYSTEM FOR SHIPS COLLISION AVOIDANCE		2015	2015-02-27					7	1	15	25	0	0	0	2017-01-06
2564773480	24845		Patent	vorrichtung und verfahren zum befestigen einer basiskonstruktion auf einer wandflache am meeresgrund	Vorrichtung und Verfahren zum Befestigen einer Basiskonstruktion auf einer Wandfläche am Meeresgrund		2011	2011-01-13									0	0	0	2017-01-06
2564773488	27893	10.3138/cjh.14.2.315	Journal	the merthyr rising by gwyn a williamsthe merthyr rising by gwyn a williams croom helm london and macmillan of canada 1978 237 pp 19 85	The Merthyr Rising, by Gwyn A. WilliamsThe Merthyr Rising, by Gwyn A. Williams. Croom Helm, London, and Macmillan of Canada, 1978. 237 pp. $19.85.		1979	1979-01-08	University of Saskatchewan	2764381328			14	2	315	316	0	0	0	2017-01-06
2564773491	24468			concept of founding violence by rene girard social mobbing psychological terrorism and litigation	CONCEPT OF "FOUNDING VIOLENCE" BY RENE GIRARD: SOCIAL MOBBING, PSYCHOLOGICAL TERRORISM AND LITIGATION		2016	2016-01-01							159	164	0	0	0	2017-01-06
2564773495	28050			sir francis crane director of the mortlake tapestry factory and chancellor of the order of the garter	Sir Francis Crane: Director of the Mortlake Tapestry Factory and Chancellor of the Order of the Garter		1981	1981-01-01	Apollo Magazine					228	90	96	0	0	0	2017-01-06
2564773512	24775			the important brainstem and cerebellar disorders in neuro ophthalmology	The important brainstem and cerebellar disorders in Neuro-ophthalmology		2013	2013-08-01	医学書院				67	8	1274	1280	0	0	0	2017-01-06
2564773522	26924	10.1007/BF01742718		epiphysiolyse femorale superieure	Epiphysiolyse fémorale supérieure		1992	1992-03-01	Springer Paris				2	1	11	15	12	0	0	2017-01-06
2564773525	24570			новый источник изучения имущественного положения уральского заводчика а ф турчанинова аналитический обзор описи 1789 г	Новый источник изучения имущественного положения уральского заводчика А. Ф. Турчанинова: аналитический обзор описи 1789 г.		2015	2015-01-01	Уральский федеральный университет				142	3	129	143	0	0	0	2017-01-06
2564773537	22609		Patent	verifying object measurements determined from mobile device images	Verifying object measurements determined from mobile device images		2016	2016-03-21									19	1	1	2017-01-06
2564773546	24702		Journal	ambtshalve toetsing aan vogel en habitatrichtlijn	Ambtshalve toetsing aan Vogel- en Habitatrichtlijn		2003	2003-01-01		199447588							0	0	0	2017-01-06
2564773548	27231			en el 150 aniversario de la estancia de chopin y george sand en mallorca	En el 150 aniversario de la estancia de Chopin y George Sand en Mallorca		1989	1989-01-01	Editorial Lira				60	597	16	20	0	0	0	2017-01-06
2564773551	30462		Patent	verfahren zur herstellung fluessiger oel oder wachsartiger kohlenstoff fluor und chlor enthaltender niedrigmolekularer polymerisate	Verfahren zur Herstellung fluessiger, oel- oder wachsartiger, Kohlenstoff, Fluor und Chlor enthaltender niedrigmolekularer Polymerisate		1957	1957-05-16									0	0	0	2017-01-06
